Time,Region,Entity,N95s/KN95s,Masks,Gowns,Gloves,Ventilators
4/29/2020,Massachusetts,Nursing home/Senior living,267285,600400,53525,489100,0
4/29/2020,Massachusetts,Hospital,200000,165200,21436,104000,675
4/29/2020,Massachusetts,Community health center,44550,69750,8013,53400,0
4/29/2020,Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",122634,282141,119532,1060650,0
4/29/2020,Massachusetts,Public safety (30-day supply),167325,0,0,0,0
4/29/2020,Massachusetts,EMS (Private),29520,18300,1668,34000,0
4/29/2020,Massachusetts,Local BOH,10325,19500,786,38000,0
4/29/2020,Massachusetts,State agency,44376,166258,31265,1371080,0
4/29/2020,Massachusetts,Other (e.g. home and pediatric care),104811,541863,49570,837054,0
4/29/2020,Massachusetts,Total,990826,1863412,285795,3987284,675
4/29/2020,Southeastern Massachusetts,Nursing home/Senior living,72580,128700,17612,169400,0
4/29/2020,Southeastern Massachusetts,Hospital,50640,42400,7370,47000,79
4/29/2020,Southeastern Massachusetts,Community health center,7870,7200,285,2400,0
4/29/2020,Southeastern Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",33511,58005,25942,188320,0
4/29/2020,Southeastern Massachusetts,Public safety (30-day supply),37800,0,0,0,0
4/29/2020,Southeastern Massachusetts,EMS (Private),2800,2600,186,8000,0
4/29/2020,Southeastern Massachusetts,Local BOH,320,2000,96,6000,0
4/29/2020,Southeastern Massachusetts,State agency,720,1400,280,3800,0
4/29/2020,Southeastern Massachusetts,Other (e.g. home and pediatric care),28455,166530,14546,261300,0
4/29/2020,Southeastern Massachusetts,Total,234696,408835,66317,686220,79
4/29/2020,Metro West,Nursing home/Senior living,64870,129500,11680,84000,0
4/29/2020,Metro West,Hospital,43720,27400,4374,2000,136
4/29/2020,Metro West,Community health center,11580,14350,2154,6000,0
4/29/2020,Metro West,"Local Municipalities (e.g. Fire, Police, Public EMS)",15370,63402,21388,120180,0
4/29/2020,Metro West,Public safety (30-day supply),42785,0,0,0,0
4/29/2020,Metro West,EMS (Private),7520,4600,240,0,0
4/29/2020,Metro West,Local BOH,1320,9500,0,6000,0
4/29/2020,Metro West,State agency,1420,1800,1390,1500,0
4/29/2020,Metro West,Other (e.g. home and pediatric care),23881,122860,9384,152500,0
4/29/2020,Metro West,Total,212466,373412,50610,372180,136
4/29/2020,Western Massachusetts,Nursing home/Senior living,46860,112350,9472,67800,0
4/29/2020,Western Massachusetts,Hospital,26160,30700,4004,0,60
4/29/2020,Western Massachusetts,Community health center,5360,10100,990,11000,0
4/29/2020,Western Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",18508,69142,24962,126880,0
4/29/2020,Western Massachusetts,Public safety (30-day supply),33015,0,0,0,0
4/29/2020,Western Massachusetts,EMS (Private),8880,6900,942,16000,0
4/29/2020,Western Massachusetts,Local BOH,2025,2000,300,5000,0
4/29/2020,Western Massachusetts,State agency,0,0,50,200,0
4/29/2020,Western Massachusetts,Other (e.g. home and pediatric care),15515,69450,9408,97750,0
4/29/2020,Western Massachusetts,Total,156323,300642,50128,324630,60
4/29/2020,Central Massachusetts,Nursing home/Senior living,34540,91000,5229,78000,0
4/29/2020,Central Massachusetts,Hospital,22960,11600,1266,0,79
4/29/2020,Central Massachusetts,Community health center,8420,20100,1158,12000,0
4/29/2020,Central Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",33695,43184,26099,201350,0
4/29/2020,Central Massachusetts,Public safety (30-day supply),14450,0,0,0,0
4/29/2020,Central Massachusetts,EMS (Private),3800,1300,180,5000,0
4/29/2020,Central Massachusetts,Local BOH,1340,3000,90,8000,0
4/29/2020,Central Massachusetts,State agency,0,2300,0,400,0
4/29/2020,Central Massachusetts,Other (e.g. home and pediatric care),19145,91283,9271,149500,0
4/29/2020,Central Massachusetts,Total,138350,263767,43293,454250,79
4/29/2020,Metro Boston,Nursing home/Senior living,14550,46950,2766,25700,0
4/29/2020,Metro Boston,Hospital,31950,22300,2580,47000,204
4/29/2020,Metro Boston,Community health center,9640,14700,3030,17000,0
4/29/2020,Metro Boston,"Local Municipalities (e.g. Fire, Police, Public EMS)",13920,17200,11150,259120,0
4/29/2020,Metro Boston,Public safety (30-day supply),6455,0,0,0,0
4/29/2020,Metro Boston,EMS (Private),5000,0,0,0,0
4/29/2020,Metro Boston,Local BOH,3720,1000,300,6000,0
4/29/2020,Metro Boston,State agency,1200,1000,108,16800,0
4/29/2020,Metro Boston,Other (e.g. home and pediatric care),7800,27650,3102,94072,0
4/29/2020,Metro Boston,Total,94235,130800,23036,465692,204
4/29/2020,Northeastern Massachusetts,Nursing home/Senior living,33885,91900,6766,64200,0
4/29/2020,Northeastern Massachusetts,Hospital,24570,30800,1842,8000,117
4/29/2020,Northeastern Massachusetts,Community health center,1680,3300,396,5000,0
4/29/2020,Northeastern Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",7630,31208,9991,164800,0
4/29/2020,Northeastern Massachusetts,Public safety (30-day supply),32820,0,0,0,0
4/29/2020,Northeastern Massachusetts,EMS (Private),1520,2900,120,5000,0
4/29/2020,Northeastern Massachusetts,Local BOH,1600,2000,0,7000,0
4/29/2020,Northeastern Massachusetts,State agency,0,0,0,0,0
4/29/2020,Northeastern Massachusetts,Other (e.g. home and pediatric care),10015,64090,3859,81932,0
4/29/2020,Northeastern Massachusetts,Total,113720,226198,22974,335932,117
4/29/2020,State agency,Nursing home/Senior living,0,0,0,0,0
4/29/2020,State agency,Hospital,0,0,0,0,0
4/29/2020,State agency,Community health center,0,0,0,0,0
4/29/2020,State agency,"Local Municipalities (e.g. Fire, Police, Public EMS)",0,0,0,0,0
4/29/2020,State agency,Public safety (30-day supply),0,0,0,0,0
4/29/2020,State agency,EMS (Private),0,0,0,0,0
4/29/2020,State agency,Local BOH,0,0,0,0,0
4/29/2020,State agency,State agency,41036,159758,29437,1348380,0
4/29/2020,State agency,Other (e.g. home and pediatric care),0,0,0,0,0
4/29/2020,State agency,Total,41036,159758,29437,1348380,0
4/30/2020,Region,Entity,N95s/KN95s,Masks,Gowns,Gloves,Ventilators
4/30/2020,Massachusetts,Nursing home/Senior living,269365,612600,53725,489100,0
4/30/2020,Massachusetts,Hospital,200560,165200,21436,104000,675
4/30/2020,Massachusetts,Community health center,45270,71750,8013,53400,0
4/30/2020,Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",150779,291341,126012,1072350,0
4/30/2020,Massachusetts,Public safety (30-day supply),167325,0,0,0,0
4/30/2020,Massachusetts,EMS (Private),30240,24300,1668,34000,0
4/30/2020,Massachusetts,Local BOH,10485,19500,786,38000,0
4/30/2020,Massachusetts,State agency,45636,167384,32175,1468880,0
4/30/2020,Massachusetts,Other (e.g. home and pediatric care),108567,554363,50585,866154,0
4/30/2020,Massachusetts,Total,1028227,1906438,294400,4125884,675
4/30/2020,Southeastern Massachusetts,Nursing home/Senior living,72780,134900,17812,169400,0
4/30/2020,Southeastern Massachusetts,Hospital,51200,42400,7370,47000,79
4/30/2020,Southeastern Massachusetts,Community health center,8030,9200,285,2400,0
4/30/2020,Southeastern Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",36241,63005,30202,193720,0
4/30/2020,Southeastern Massachusetts,Public safety (30-day supply),37800,0,0,0,0
4/30/2020,Southeastern Massachusetts,EMS (Private),3360,2600,186,8000,0
4/30/2020,Southeastern Massachusetts,Local BOH,320,2000,96,6000,0
4/30/2020,Southeastern Massachusetts,State agency,1720,1400,280,3800,0
4/30/2020,Southeastern Massachusetts,Other (e.g. home and pediatric care),29561,171930,14721,282800,0
4/30/2020,Southeastern Massachusetts,Total,241012,427435,70952,713120,79
4/30/2020,Metro West,Nursing home/Senior living,65350,129500,11680,84000,0
4/30/2020,Metro West,Hospital,43720,27400,4374,2000,136
4/30/2020,Metro West,Community health center,12140,14350,2154,6000,0
4/30/2020,Metro West,"Local Municipalities (e.g. Fire, Police, Public EMS)",20551,65402,21928,120180,0
4/30/2020,Metro West,Public safety (30-day supply),42785,0,0,0,0
4/30/2020,Metro West,EMS (Private),7520,8600,240,0,0
4/30/2020,Metro West,Local BOH,1320,9500,0,6000,0
4/30/2020,Metro West,State agency,1420,1800,1390,1500,0
4/30/2020,Metro West,Other (e.g. home and pediatric care),25041,125160,10144,155500,0
4/30/2020,Metro West,Total,219847,381712,51910,375180,136
4/30/2020,Western Massachusetts,Nursing home/Senior living,46860,114350,9472,67800,0
4/30/2020,Western Massachusetts,Hospital,26160,30700,4004,0,60
4/30/2020,Western Massachusetts,Community health center,5360,10100,990,11000,0
4/30/2020,Western Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",25898,70642,26282,129180,0
4/30/2020,Western Massachusetts,Public safety (30-day supply),33015,0,0,0,0
4/30/2020,Western Massachusetts,EMS (Private),9040,6900,942,16000,0
4/30/2020,Western Massachusetts,Local BOH,2185,2000,300,5000,0
4/30/2020,Western Massachusetts,State agency,0,0,50,200,0
4/30/2020,Western Massachusetts,Other (e.g. home and pediatric care),16075,73150,9408,98350,0
4/30/2020,Western Massachusetts,Total,164593,307842,51448,327530,60
4/30/2020,Central Massachusetts,Nursing home/Senior living,35540,95000,5229,78000,0
4/30/2020,Central Massachusetts,Hospital,22960,11600,1266,0,79
4/30/2020,Central Massachusetts,Community health center,8420,20100,1158,12000,0
4/30/2020,Central Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",41005,43884,26299,203350,0
4/30/2020,Central Massachusetts,Public safety (30-day supply),14450,0,0,0,0
4/30/2020,Central Massachusetts,EMS (Private),3800,1300,180,5000,0
4/30/2020,Central Massachusetts,Local BOH,1340,3000,90,8000,0
4/30/2020,Central Massachusetts,State agency,0,2300,0,400,0
4/30/2020,Central Massachusetts,Other (e.g. home and pediatric care),19305,92083,9351,150700,0
4/30/2020,Central Massachusetts,Total,146820,269267,43573,457450,79
4/30/2020,Metro Boston,Nursing home/Senior living,14550,46950,2766,25700,0
4/30/2020,Metro Boston,Hospital,31950,22300,2580,47000,204
4/30/2020,Metro Boston,Community health center,9640,14700,3030,17000,0
4/30/2020,Metro Boston,"Local Municipalities (e.g. Fire, Police, Public EMS)",17117,17200,11150,259120,0
4/30/2020,Metro Boston,Public safety (30-day supply),6455,0,0,0,0
4/30/2020,Metro Boston,EMS (Private),5000,0,0,0,0
4/30/2020,Metro Boston,Local BOH,3720,1000,300,6000,0
4/30/2020,Metro Boston,State agency,1200,1000,108,16800,0
4/30/2020,Metro Boston,Other (e.g. home and pediatric care),8410,27950,3102,96872,0
4/30/2020,Metro Boston,Total,98042,131100,23036,468492,204
4/30/2020,Northeastern Massachusetts,Nursing home/Senior living,34285,91900,6766,64200,0
4/30/2020,Northeastern Massachusetts,Hospital,24570,30800,1842,8000,117
4/30/2020,Northeastern Massachusetts,Community health center,1680,3300,396,5000,0
4/30/2020,Northeastern Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",9967,31208,10151,166800,0
4/30/2020,Northeastern Massachusetts,Public safety (30-day supply),32820,0,0,0,0
4/30/2020,Northeastern Massachusetts,EMS (Private),1520,4900,120,5000,0
4/30/2020,Northeastern Massachusetts,Local BOH,1600,2000,0,7000,0
4/30/2020,Northeastern Massachusetts,State agency,0,0,0,0,0
4/30/2020,Northeastern Massachusetts,Other (e.g. home and pediatric care),10175,64090,3859,81932,0
4/30/2020,Northeastern Massachusetts,Total,116617,228198,23134,337932,117
4/30/2020,State agency,Nursing home/Senior living,0,0,0,0,0
4/30/2020,State agency,Hospital,0,0,0,0,0
4/30/2020,State agency,Community health center,0,0,0,0,0
4/30/2020,State agency,"Local Municipalities (e.g. Fire, Police, Public EMS)",0,0,0,0,0
4/30/2020,State agency,Public safety (30-day supply),0,0,0,0,0
4/30/2020,State agency,EMS (Private),0,0,0,0,0
4/30/2020,State agency,Local BOH,0,0,0,0,0
4/30/2020,State agency,State agency,41296,160884,30347,1446180,0
4/30/2020,State agency,Other (e.g. home and pediatric care),0,0,0,0,0
4/30/2020,State agency,Total,41296,160884,30347,1446180,0
5/1/2020,Region,Entity,N95s/KN95s,Masks,Gowns,Gloves,Ventilators
5/1/2020,Massachusetts,Nursing home/Senior living,277005,628600,53725,521100,0
5/1/2020,Massachusetts,Hospital,206720,186000,21836,119700,675
5/1/2020,Massachusetts,Community health center,46270,77750,8013,59400,0
5/1/2020,Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",214884,298291,127232,1108650,0
5/1/2020,Massachusetts,Public safety (30-day supply),167325,0,0,0,0
